"seed";"dispersal";"divergence_threshold";"competition"
"config_M1_261";88148;0;70;0.910526315789474
"config_M1_262";31783;0.0526315789473684;70;0.910526315789474
"config_M1_263";87000;0.105263157894737;70;0.910526315789474
"config_M1_264";23349;0.157894736842105;70;0.910526315789474
"config_M1_265";27904;0.210526315789474;70;0.910526315789474
"config_M1_266";73686;0.263157894736842;70;0.910526315789474
"config_M1_267";18292;0.315789473684211;70;0.910526315789474
"config_M1_268";67339;0.368421052631579;70;0.910526315789474
"config_M1_269";29656;0.421052631578947;70;0.910526315789474
"config_M1_270";45098;0.473684210526316;70;0.910526315789474
"config_M1_271";38834;0.526315789473684;70;0.910526315789474
"config_M1_272";13307;0.578947368421053;70;0.910526315789474
"config_M1_273";91187;0.631578947368421;70;0.910526315789474
"config_M1_274";61537;0.684210526315789;70;0.910526315789474
"config_M1_275";63492;0.736842105263158;70;0.910526315789474
"config_M1_276";77792;0.789473684210526;70;0.910526315789474
"config_M1_277";67670;0.842105263157895;70;0.910526315789474
"config_M1_278";8360;0.894736842105263;70;0.910526315789474
"config_M1_279";4175;0.947368421052632;70;0.910526315789474
"config_M1_280";89901;1;70;0.910526315789474
"config_M1_281";14739;0;75;0.910526315789474
"config_M1_282";82753;0.0526315789473684;75;0.910526315789474
"config_M1_283";75222;0.105263157894737;75;0.910526315789474
"config_M1_284";46928;0.157894736842105;75;0.910526315789474
"config_M1_285";42297;0.210526315789474;75;0.910526315789474
"config_M1_286";81850;0.263157894736842;75;0.910526315789474
"config_M1_287";90839;0.315789473684211;75;0.910526315789474
"config_M1_288";18435;0.368421052631579;75;0.910526315789474
"config_M1_289";22870;0.421052631578947;75;0.910526315789474
"config_M1_290";12391;0.473684210526316;75;0.910526315789474
"config_M1_291";77420;0.526315789473684;75;0.910526315789474
"config_M1_292";74154;0.578947368421053;75;0.910526315789474
"config_M1_293";56625;0.631578947368421;75;0.910526315789474
"config_M1_294";84691;0.684210526315789;75;0.910526315789474
"config_M1_295";95086;0.736842105263158;75;0.910526315789474
"config_M1_296";71127;0.789473684210526;75;0.910526315789474
"config_M1_297";2114;0.842105263157895;75;0.910526315789474
